precision,recall,f1
0.9999998807907104,0.9999998807907104,0.9999998807907104
0.9861278533935547,0.9608553647994995,0.9733275771141052
0.8656796216964722,0.8781265616416931,0.8718586564064026
0.9109247326850891,0.900590717792511,0.905728280544281
0.9004001617431641,0.8939379453659058,0.8971574306488037
0.9328752160072327,0.9265670776367188,0.9297105073928833
0.9999998807907104,0.9999998807907104,0.9999998807907104
0.8497029542922974,0.870734453201294,0.8600901961326599
0.9808621406555176,0.9808621406555176,0.9808621406555176
0.9849409461021423,0.9849409461021423,0.9849409461021423
0.9999999403953552,0.9999999403953552,0.9999999403953552
0.9459503293037415,0.9330238699913025,0.9394426345825195
0.9955974221229553,0.9719478487968445,0.9836304783821106
0.9985589981079102,0.9845409393310547,0.9915004372596741
0.9986011385917664,0.9783186316490173,0.9883558750152588
0.9936448335647583,0.9936448335647583,0.9936448335647583
0.9759564399719238,0.9347946047782898,0.9549321532249451
0.9436554312705994,0.9470985531806946,0.9453738331794739
0.9775861501693726,0.9206668138504028,0.9482731223106384
0.9999999403953552,0.9999999403953552,0.9999999403953552
0.9780331254005432,0.8533743023872375,0.9114611148834229
1.0000001192092896,1.0000001192092896,1.0000001192092896
0.8412017822265625,0.8418768644332886,0.8415391445159912
1.0,1.0,1.0
1.0,1.0,1.0
0.8043293356895447,0.8154802322387695,0.8098663687705994
0.9530507326126099,0.8990669250488281,0.9252721071243286
0.9421696066856384,0.8802952170372009,0.9101821184158325
0.9878817796707153,0.9608534574508667,0.9741801619529724
