precision,recall,f1
0.9385578632354736,0.9355179071426392,0.9370354413986206
0.9861278533935547,0.9608553647994995,0.9733275771141052
0.9812175035476685,0.9870291948318481,0.9841147661209106
0.9999999403953552,0.9999999403953552,0.9999999403953552
0.9004001617431641,0.8939379453659058,0.8971574306488037
1.0,1.0,1.0
0.9437114000320435,0.9272845983505249,0.935425877571106
0.8218437433242798,0.8354454040527344,0.8285887241363525
0.9434881806373596,0.9372490048408508,0.9403582215309143
0.936707615852356,0.957168459892273,0.9468275308609009
0.9999999403953552,0.9999999403953552,0.9999999403953552
0.9459503293037415,0.9330238699913025,0.9394426345825195
0.9955974221229553,0.9719478487968445,0.9836304783821106
1.0,1.0,1.0
1.0,1.0,1.0
0.982665479183197,0.9925679564476013,0.9875918626785278
0.9489741921424866,0.9097117185592651,0.9289282560348511
0.9320005178451538,0.9435914754867554,0.9377601742744446
0.8762843012809753,0.8812899589538574,0.878779947757721
0.9999999403953552,0.9999999403953552,0.9999999403953552
0.9780331254005432,0.8533743023872375,0.9114611148834229
0.9712046384811401,0.9549027681350708,0.9629847407341003
0.8412017822265625,0.8418768644332886,0.8415391445159912
1.0,1.0,1.0
1.0,1.0,1.0
0.8426806330680847,0.8379347324371338,0.840300977230072
0.9147471189498901,0.8703312277793884,0.891986608505249
0.9438178539276123,0.8801926374435425,0.9108955264091492
0.9878817796707153,0.9608534574508667,0.9741801619529724
